users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
90,204.7348412,9.962759463,0.037240537,10
148,257.3927248,14.99819086,0.001809142,15
158,303.8731656,19.98296419,0.017035807,20
173,349.6011268,24.99845504,0.001544957,25
235,392.5037906,29.96008516,0.039914838,30
301,435.1166609,34.97437925,0.025620749,35
367,477.9643181,39.97047944,0.029520559,40
413,512.5785915,44.97952596,0.020474038,45
531,538.5257138,49.99035178,0.009648215,50
649,563.7799386,54.95815763,0.041842371,55
768,589.2481821,59.96806352,0.031936477,60
887,614.7164257,64.97796942,0.022030583,65
994,639.0150425,69.99285899,0.007141007,70
998,672.307937,74.98799545,0.012004554,75
1000,684.4662654,79.97296287,0.027037126,80
1000,684.9929242,81.12992393,3.870076073,85
1000,684.9929242,81.12992393,8.870076073,90
1000,684.9929242,81.12992393,13.87007607,95
1000,684.9929242,81.12992393,18.87007607,100
1000,684.9929242,81.12992393,23.87007607,105
1000,684.9929242,81.12992393,28.87007607,110
1000,684.9929242,81.12992393,33.87007607,115
1000,684.9929242,81.12992393,38.87007607,120
1000,684.9929242,81.12992393,43.87007607,125
1000,684.9929242,81.12992393,48.87007607,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
69,215.5494453,9.962467484,0.037532516,10
115,272.7319018,14.96967139,0.030328609,15
145,325.3185049,19.99329165,0.006708353,20
152,374.5702903,24.99866625,0.001333747,25
174,420.8771339,29.99015758,0.009842421,30
240,463.3890387,34.97835782,0.021642181,35
305,506.1236425,39.95845181,0.041548191,40
371,548.7365127,44.9727459,0.027254102,45
434,587.6092436,49.98451801,0.01548199,50
529,613.4126516,54.96875497,0.031245033,55
648,638.8808951,59.97866086,0.021339139,60
767,664.3491387,64.98856676,0.011433245,65
886,689.8173823,69.99847265,0.00152735,70
989,725.6884897,74.97437889,0.025621109,75
999,756.2085782,79.98363357,0.016366435,80
1000,773.6901289,84.93507131,0.064928687,85
1000,776.7462466,87.71265314,2.287346863,90
1000,776.7462466,87.71265314,7.287346863,95
1000,776.7462466,87.71265314,12.28734686,100
1000,776.7462466,87.71265314,17.28734686,105
1000,776.7462466,87.71265314,22.28734686,110
1000,776.7462466,87.71265314,27.28734686,115
1000,776.7462466,87.71265314,32.28734686,120
1000,776.7462466,87.71265314,37.28734686,125
1000,776.7462466,87.71265314,42.28734686,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
78,193.6645879,9.979988852,0.020011148,10
146,249.8674573,14.96497054,0.035029463,15
159,309.724542,19.96955441,0.030445586,20
174,347.3451063,24.98963017,0.010369829,25
229,390.773733,29.9766079,0.023392105,30
295,433.6213902,34.97270809,0.027291915,35
361,476.5700129,39.99490212,0.005097875,40
426,516.9581547,44.96803179,0.03196821,45
493,543.1621243,49.96048264,0.039517359,50
612,568.6303679,54.97038853,0.029611465,55
731,594.0986114,59.98029443,0.019705571,60
850,619.566855,64.99020032,0.009799677,65
968,644.8210797,69.95800617,0.041993833,70
993,677.4783438,74.95816173,0.041838268,75
999,704.9854511,79.98841988,0.011580118,80
1000,715.459863,84.843026,0.156973998,85
1000,715.544048,85.39543564,4.604564359,90
1000,715.544048,85.39543564,9.604564359,95
1000,715.544048,85.39543564,14.60456436,100
1000,715.544048,85.39543564,19.60456436,105
1000,715.544048,85.39543564,24.60456436,110
1000,715.544048,85.39543564,29.60456436,115
1000,715.544048,85.39543564,34.60456436,120
1000,715.544048,85.39543564,39.60456436,125
1000,715.544048,85.39543564,44.60456436,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
118,184.0126598,9.965669516,0.034330484,10
147,236.587175,14.99937742,0.00062258,15
158,282.3701428,19.9803982,0.019601802,20
216,325.529744,24.95974594,0.040254056,25
282,368.1426143,29.97404003,0.025959967,30
348,410.9902715,34.97014022,0.029859777,35
401,446.6669194,39.98258107,0.017418933,40
486,472.5302294,44.98550361,0.014496386,45
605,497.998473,49.99540951,0.004590492,50
723,523.2526977,54.96321535,0.036784648,55
842,548.7209413,59.97312125,0.026878754,60
961,574.1891849,64.98302714,0.01697286,65
1000,618.6694098,69.99929416,0.000705837,70
1000,637.7668705,74.95496963,0.045030372,75
1000,642.7302755,78.69654582,1.30345418,80
1000,642.7302755,78.69654582,6.30345418,85
1000,642.7302755,78.69654582,11.30345418,90
1000,642.7302755,78.69654582,16.30345418,95
1000,642.7302755,78.69654582,21.30345418,100
1000,642.7302755,78.69654582,26.30345418,105
1000,642.7302755,78.69654582,31.30345418,110
1000,642.7302755,78.69654582,36.30345418,115
1000,642.7302755,78.69654582,41.30345418,120
1000,642.7302755,78.69654582,46.30345418,125
1000,642.7302755,78.69654582,51.30345418,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
49,242.7450137,9.992109501,0.007890499,10
74,310.8550754,14.98370494,0.016295058,15
150,365.8265295,19.96703828,0.032961724,20
166,413.0941017,24.9924731,0.007526896,25
197,457.8952785,29.96318729,0.036812706,30
263,500.5081487,34.97748138,0.022518617,35
329,543.3558059,39.97358157,0.026418426,40
394,584.1632039,44.96830018,0.031699824,45
435,611.6814881,49.96414202,0.035857976,50
554,637.1497317,54.97404792,0.025952082,55
673,662.6179752,59.98395381,0.016046188,60
792,688.0862188,64.99385971,0.006140294,65
910,713.3404435,69.96166555,0.038334449,70
999,750.0981611,74.98148381,0.018516189,75
999,778.2054345,79.99955406,0.000445941,80
999,799.4077531,84.97925618,0.020743819,85
1000,812.1933201,89.92375241,0.076247593,90
1000,813.3128818,92.16483984,2.835160161,95
1000,813.3128818,92.16483984,7.835160161,100
1000,813.3128818,92.16483984,12.83516016,105
1000,813.3128818,92.16483984,17.83516016,110
1000,813.3128818,92.16483984,22.83516016,115
1000,813.3128818,92.16483984,27.83516016,120
1000,813.3128818,92.16483984,32.83516016,125
1000,813.3128818,92.16483984,37.83516016,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
67,252.5342651,9.971943515,0.028056485,10
122,309.3366268,14.95906195,0.040938047,15
156,370.0108237,19.97644087,0.02355913,20
158,419.89296,24.97644087,0.02355913,25
177,459.0035041,29.97960459,0.020395412,30
236,502.2761588,34.97495853,0.025041465,35
302,545.2247814,39.99715257,0.002847426,40
367,587.6236328,44.96934661,0.030653387,45
433,629.755136,49.97558286,0.024417143,50
506,659.2716507,54.97342233,0.026577666,55
625,684.7398942,59.98332823,0.016671772,60
744,710.2081378,64.99323412,0.006765878,65
862,735.4623625,69.96103997,0.038960033,70
981,760.9306061,74.97094586,0.029054139,75
999,790.0637189,79.99650261,0.003497388,80
1000,811.7235293,84.9377995,0.062200496,85
1000,817.4533082,89.60794893,0.392051066,90
1000,817.4533082,89.60794893,5.392051066,95
1000,817.4533082,89.60794893,10.39205107,100
1000,817.4533082,89.60794893,15.39205107,105
